PLACE_NAME,TOTAL,x0m,x1m,x2m,x3m,x4m,x5m,x6m,x7m,x8m,x9m,x10m
"Albania",3,0.05,0.12,0.16,0.23,0.28,0.32,0.35,0.38,0.41,0.44,0.47
"Algeria",35,0.035,0.054,0.36,0.75,0.96,1.1,1.2,1.3,1.4,1.5,1.6
"American Samoa",0.066,0.0025,0.005,0.007,0.0086,0.0098,0.011,0.012,0.013,0.014,0.015,0.015
"Angola",13,0.0038,0.014,0.13,0.29,0.37,0.43,0.48,0.51,0.54,0.57,0.59
"Antigua and Barbuda",0.087,0.00036,0.0015,0.0036,0.0093,0.013,0.016,0.018,0.02,0.021,0.023,0.024
"Argentina",41,0.013,0.11,0.24,1.9,2.6,3,3.4,3.8,4.1,4.4,4.8
"Aruba",0.11,0.0003,0.0013,0.016,0.027,0.033,0.037,0.04,0.044,0.047,0.049,0.052
"Australia",22,0.072,0.24,0.75,1.4,2,2.4,2.7,3,3.4,3.6,3.9
"Bahamas",0.31,0.0035,0.13,0.17,0.22,0.25,0.27,0.28,0.28,0.29,0.29,0.3
"Bahrain",0.73,0.00097,0.029,0.34,0.49,0.54,0.57,0.58,0.59,0.59,0.6,0.6
"Bangladesh",160,9.3,23,43,59,71,82,90,96,100,110,110
"Barbados",0.29,2.2e-05,0.00016,0.0046,0.016,0.027,0.033,0.04,0.044,0.047,0.051,0.054
"Belgium",10,0.079,0.13,0.26,0.56,1.2,1.6,1.9,2.1,2.3,2.4,2.5
"Belize",0.32,0.0018,0.017,0.079,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.18
"Benin",9.1,0.37,0.54,1.1,1.4,1.6,1.7,1.7,1.8,1.8,1.8,1.9
"Bermuda",0.068,0.0024,0.0053,0.0083,0.011,0.014,0.016,0.018,0.02,0.022,0.023,0.025
"Bosnia and Herzegovina",4.6,4e-06,0.00022,0.00043,0.0026,0.0065,0.0088,0.01,0.012,0.012,0.012,0.013
"Brazil",200,0.77,1.6,3.5,6.6,9.6,12,15,17,18,20,21
"Brunei",0.4,0.0016,0.0044,0.059,0.12,0.14,0.16,0.18,0.19,0.2,0.21,0.22
"Bulgaria",7.1,0.0011,0.0016,0.0044,0.02,0.036,0.044,0.052,0.059,0.064,0.069,0.074
"Cambodia",15,0.34,0.83,1.6,2.2,3,3.6,4.5,5.1,5.8,6.5,7.1
