PLACE_NAME,TOTAL,0m,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m
Albania,3,8.80E-05,0.012,0.13,0.16,0.19,0.23,0.25,0.28,0.3,0.33,0.35
Algeria,35,0.0015,0.063,0.13,0.25,0.42,0.54,0.64,0.75,0.87,0.97,1.1
American Samoa,0.066,0.00098,0.0015,0.0023,0.0036,0.0049,0.0062,0.0074,0.0085,0.0096,0.011,0.011
Angola,13,0.00018,0.0027,0.0069,0.015,0.06,0.11,0.16,0.21,0.26,0.31,0.37
Antigua and Barbuda,0.087,0.0009,0.0018,0.0028,0.0041,0.006,0.0083,0.011,0.013,0.015,0.016,0.018
Argentina,41,0.0036,0.014,0.035,0.1,0.25,0.47,0.71,1.1,1.9,2.3,2.8
Aruba,0.1,0.0012,0.0018,0.0029,0.0044,0.0071,0.011,0.016,0.021,0.027,0.032,0.037
Australia,21,0.032,0.076,0.19,0.37,0.64,0.92,1.3,1.6,2,2.4,2.7
Bahamas,0.31,0.0027,0.0064,0.015,0.034,0.068,0.11,0.16,0.2,0.23,0.25,0.26
Bahrain,0.73,0.013,0.029,0.056,0.1,0.16,0.23,0.31,0.38,0.44,0.49,0.52
Bangladesh,160,1.1,2.6,5.4,10,19,29,41,52,64,74,83
Barbados,0.29,0.00017,0.00029,0.0005,0.001,0.0023,0.0048,0.0089,0.014,0.019,0.026,0.032
Belgium,10,0.089,0.18,0.3,0.51,0.77,1,1.3,1.5,1.8,2,2.1
Belize,0.31,0.00048,0.0043,0.009,0.032,0.059,0.081,0.099,0.11,0.12,0.13,0.13
Benin,9.1,0.036,0.14,0.21,0.46,0.67,0.91,1.2,1.4,1.5,1.6,1.7
Bermuda,0.068,0.0013,0.0017,0.0024,0.0034,0.005,0.007,0.0092,0.011,0.013,0.015,0.017
Bosnia and Herzegovina,4.6,0,0,0.00061,0.001,0.0031,0.0042,0.005,0.0056,0.0079,0.0089,0.0099
Brazil,200,0.2,0.4,0.95,1.6,2.6,4.3,6.2,8.5,10,12,14
Brunei,0.4,0.002,0.0025,0.0042,0.0091,0.029,0.05,0.069,0.11,0.13,0.14,0.16
Bulgaria,7.1,0.00027,0.0047,0.012,0.02,0.026,0.032,0.037,0.042,0.046,0.05,0.057
Cambodia,14,0.0055,0.038,0.19,0.44,0.86,1.3,1.8,2.4,2.9,3.6,4.2
Cameroon,19,0.00062,0.0014,0.0024,0.0042,0.017,0.065,0.12,0.19,0.29,0.35,0.43
Canada,33,0.083,0.2,0.32,0.43,0.53,0.64,0.74,0.84,0.94,1.1,1.2
Cape Verde,0.5,0.0081,0.015,0.023,0.03,0.037,0.043,0.049,0.054,0.058,0.063,0.067
Cayman Islands,0.05,0.00073,0.0017,0.0038,0.0083,0.015,0.023,0.031,0.038,0.042,0.045,0.047
Chile,17,0.0055,0.015,0.025,0.047,0.084,0.13,0.18,0.24,0.3,0.37,0.44
China,1300,5.5,18,32,56,81,100,120,140,160,170,180
Colombia,44,0.022,0.076,0.15,0.3,0.55,0.81,1.1,1.4,1.6,1.8,2
