Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
"World",6800,Present day,--,1.7 ,--,--,3.6 ,--,--,0.41 ,--,--,0.95 ,--,--,0.45 ,--,--,0.93 ,--,--,0.27 ,--,--,0.69 ,--
"World",6800,K14_rcp26_2050,2.0,2.2,2.4,4.0,4.3,4.7,0.47,0.55,0.63,1.00,1.1,1.3,0.50,0.57,0.66,1.00,1.1,1.2,0.32,0.37,0.43,0.84,0.99,1.2
"World",6800,K14_rcp26_2100,2.3,2.8,3.6,4.4,5.0,5.9,0.52,0.70,0.95,1.1,1.4,1.8,0.55,0.72,0.95,1.1,1.4,1.8,0.39,0.54,0.82,1.00,1.4,2.0
"World",6800,K14_rcp45_2050,2.0,2.2,2.4,4.1,4.4,4.7,0.48,0.55,0.64,1.1,1.2,1.3,0.51,0.58,0.66,1.00,1.1,1.3,0.33,0.37,0.43,0.85,1.00,1.2
"World",6800,K14_rcp45_2100,2.4,3.0,3.9,4.5,5.2,6.1,0.56,0.76,1.00,1.2,1.5,1.9,0.60,0.78,1.00,1.2,1.5,1.9,0.42,0.60,0.91,1.1,1.5,2.1
"World",6800,K14_rcp85_2050,2.0,2.2,2.5,4.1,4.4,4.8,0.48,0.57,0.66,1.1,1.2,1.3,0.51,0.59,0.68,1.00,1.2,1.3,0.33,0.38,0.45,0.88,1.00,1.2
"World",6800,K14_rcp85_2100,2.6,3.4,4.5,4.8,5.6,6.7,0.64,0.87,1.3,1.3,1.7,2.2,0.67,0.88,1.2,1.3,1.7,2.1,0.49,0.73,1.2,1.3,1.8,2.5
"World",6800,K17_rcp26_2050,1.8,2.1,2.6,3.8,4.3,4.8,0.43,0.54,0.69,0.99,1.1,1.3,0.47,0.57,0.70,0.96,1.1,1.3,0.30,0.36,0.47,0.75,0.94,1.2
"World",6800,K17_rcp26_2100,2.1,2.8,4.1,4.1,5.1,6.3,0.47,0.73,1.1,1.1,1.4,2.0,0.50,0.74,1.1,1.00,1.4,1.9,0.35,0.54,0.94,0.89,1.4,2.2
"World",6800,K17_rcp45_2050,1.9,2.2,2.6,3.9,4.3,4.9,0.44,0.55,0.70,1.00,1.2,1.4,0.47,0.58,0.71,0.97,1.1,1.3,0.30,0.37,0.48,0.76,0.97,1.3
"World",6800,K17_rcp45_2100,2.4,3.6,5.5,4.7,5.9,7.5,0.60,0.94,1.6,1.2,1.8,2.7,0.63,0.94,1.5,1.2,1.7,2.5,0.45,0.78,1.6,1.1,1.9,3.0
"World",6800,K17_rcp85_2050,1.9,2.2,2.7,3.9,4.4,5.0,0.45,0.58,0.73,1.00,1.2,1.4,0.48,0.60,0.74,0.98,1.2,1.4,0.31,0.39,0.50,0.79,1.00,1.3
"World",6800,K17_rcp85_2100,3.2,5.0,7.6,5.5,7.1,9.2,0.83,1.4,2.6,1.6,2.4,3.8,0.83,1.4,2.4,1.6,2.3,3.6,0.66,1.3,2.9,1.7,2.7,4.3
"SIDS",62,Present day,--,0.98 ,--,--,1.4 ,--,--,0.42 ,--,--,0.61 ,--,--,0.60 ,--,--,0.81 ,--,--,0.56 ,--,--,0.77 ,--
"SIDS",62,K14_rcp26_2050,1.1,1.2,1.4,1.5,1.7,1.9,0.48,0.54,0.61,0.67,0.73,0.81,0.67,0.74,0.81,0.88,0.96,1.00,0.63,0.69,0.76,0.85,0.95,1.1
