#title = mean sea level anomaly global ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.96 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-19.50000,,,
1992.9865,-19.91000,,,
1993.0123,-15.57000,,,
1993.0407,-19.38000,,,
1993.0660,-23.90000,,,
1993.0974,-27.19000,,,
1993.1206,-25.08000,,,
1993.1493,-18.95000,,,
1993.1765,-15.89000,,,
1993.2037,-16.29000,,,
1993.2307,-19.72000,,,
1993.2851,-22.70000,,,
1993.3123,-16.22000,,,
1993.3394,-15.66000,,,
1993.3665,-12.56000,,,
1993.3937,-17.08000,,,
1993.4208,-21.48000,,,
1993.4480,-18.33000,,,
1993.4751,-13.61000,,,
1993.5021,-10.66000,,,
1993.5294,-11.94000,,,
1993.5837,-21.00000,,,
1993.6117,-18.36000,,,
1993.6381,-14.57000,,,
1993.6652,-11.17000,,,
1993.6923,-13.49000,,,
1993.7189,-20.02000,,,
1993.7466,-20.61000,,,
1993.7738,-15.91000,,,
1993.8009,-16.60000,,,
1993.8553,-13.19000,,,
1993.8824,-18.97000,,,
1993.9098,-19.45000,,,
1993.9367,-16.96000,,,
1993.9639,-9.27000,,,
1993.9907,-7.30000,,,
1994.0181,-15.91000,,,
1994.0452,-15.81000,,,
1994.0723,-17.31000,,,
1994.0995,-18.94000,,,
1994.1267,-17.39000,,,
1994.1539,-11.12000,,,
1994.1809,-10.47000,,,
1994.2353,-15.40000,,,
1994.2624,-13.07000,,,
1994.2896,-10.76000,,,
1994.3168,-7.97000,,,
1994.3439,-11.40000,,,
1994.3710,-15.90000,,,
1994.3982,-18.62000,,,
1994.4253,-15.44000,,,
1994.4524,-8.92000,,,
1994.5067,-15.56000,,,
1994.5339,-14.58000,,,
1994.5610,-17.62000,,,
1994.5882,-14.04000,,,
1994.6154,-11.68000,,,
1994.6425,-8.95000,,,
1994.6697,-11.85000,,,
1994.6968,-14.45000,,,
1994.7239,-17.26000,,,
1994.7510,-16.16000,,,
1994.7782,-14.50000,,,
1994.8054,-8.32000,,,
1994.8325,-9.91000,,,
1994.8868,-17.51000,,,
1994.9140,-17.66000,,,
1994.9412,-7.73000,,,
1994.9684,-6.73000,,,
1994.9955,-9.87000,,,
1995.0226,-12.72000,,,
1995.0497,-15.24000,,,
1995.0769,-6.98000,,,
1995.1040,-7.66000,,,
1995.1312,-9.03000,,,
1995.1583,-9.49000,,,
1995.2127,-8.27000,,,
1995.2398,-13.58000,,,
1995.2669,-7.94000,,,
1995.2941,-5.62000,,,
1995.3212,-9.31000,,,
1995.3755,-13.33000,,,
1995.4028,-9.86000,,,
1995.4298,-4.11000,,,
1995.4569,-7.13000,,,
1995.4841,-12.59000,,,
1995.5384,-16.73000,,,
1995.5655,-12.72000,,,
1995.5927,-10.18000,,,
1995.6199,-7.45000,,,
1995.6470,-12.73000,,,
1995.6740,-14.21000,,,
1995.7013,-11.50000,,,
1995.7285,-4.47000,,,
1995.7556,-7.52000,,,
1995.7827,-9.18000,,,
1995.8371,-13.55000,,,
1995.8643,-12.66000,,,
1995.8899,-8.39000,,,
1995.9456,-5.51000,,,
