#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.96 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.29000,,,
1992.9865,-17.99000,,,
1993.0123,-14.89000,,,
1993.0407,-19.89000,,,
1993.0660,-25.29000,,,
1993.0974,-29.39000,,,
1993.1206,-27.69000,,,
1993.1493,-21.89000,,,
1993.1765,-18.99000,,,
1993.2037,-19.49000,,,
1993.2307,-22.99000,,,
1993.2851,-26.29000,,,
1993.3123,-20.09000,,,
1993.3394,-19.89000,,,
1993.3665,-17.19000,,,
1993.3937,-22.09000,,,
1993.4208,-26.79000,,,
1993.4480,-23.79000,,,
1993.4751,-18.99000,,,
1993.5021,-15.69000,,,
1993.5294,-16.29000,,,
1993.5837,-23.09000,,,
1993.6117,-18.89000,,,
1993.6381,-13.49000,,,
1993.6652,-8.39000,,,
1993.6923,-9.09000,,,
1993.7189,-14.19000,,,
1993.7466,-13.59000,,,
1993.7738,-8.09000,,,
1993.8009,-8.39000,,,
1993.8553,-5.49000,,,
1993.8824,-12.09000,,,
1993.9098,-13.69000,,,
1993.9367,-12.49000,,,
1993.9639,-6.19000,,,
1993.9907,-5.59000,,,
1994.0181,-15.49000,,,
1994.0452,-16.49000,,,
1994.0723,-18.89000,,,
1994.0995,-21.19000,,,
1994.1267,-20.09000,,,
1994.1539,-14.09000,,,
1994.1809,-13.59000,,,
1994.2353,-18.69000,,,
1994.2624,-16.49000,,,
1994.2896,-14.39000,,,
1994.3168,-11.89000,,,
1994.3439,-15.69000,,,
1994.3710,-20.59000,,,
1994.3982,-23.69000,,,
1994.4253,-20.79000,,,
1994.4524,-14.39000,,,
1994.5067,-20.49000,,,
1994.5339,-18.79000,,,
1994.5610,-20.79000,,,
1994.5882,-15.89000,,,
1994.6154,-11.99000,,,
1994.6425,-7.59000,,,
1994.6697,-8.79000,,,
1994.6968,-9.79000,,,
1994.7239,-11.19000,,,
1994.7510,-8.99000,,,
1994.7782,-6.59000,,,
1994.8054,-0.09000,,,
1994.8325,-1.79000,,,
1994.8868,-10.79000,,,
1994.9140,-12.09000,,,
1994.9412,-3.49000,,,
1994.9684,-3.89000,,,
1994.9955,-8.39000,,,
1995.0226,-12.49000,,,
1995.0497,-16.09000,,,
1995.0769,-8.69000,,,
1995.1040,-9.99000,,,
1995.1312,-11.79000,,,
1995.1583,-12.49000,,,
1995.2127,-11.49000,,,
1995.2398,-16.89000,,,
1995.2669,-11.39000,,,
1995.2941,-9.29000,,,
1995.3212,-13.29000,,,
1995.3755,-18.09000,,,
1995.4028,-14.99000,,,
1995.4298,-9.49000,,,
1995.4569,-12.59000,,,
1995.4841,-17.89000,,,
1995.5384,-20.79000,,,
1995.5655,-15.69000,,,
1995.5927,-11.79000,,,
1995.6199,-7.49000,,,
1995.6470,-11.09000,,,
1995.6740,-10.89000,,,
1995.7013,-6.59000,,,
1995.7285,1.81000,,,
1995.7556,-0.19000,,,
1995.7827,-1.19000,,,
1995.8371,-5.49000,,,
1995.8643,-5.19000,,,
1995.8899,-1.79000,,,
1995.9456,-1.49000,,,
1995.9728,-3.49000,,,
1995.9998,-10.39000,,,
1996.0270,-13.39000,,,
1996.0533,-11.89000,,,
1996.0814,-7.59000,,,
1996.1084,-4.39000,,,
1996.1631,-11.49000,,,
1996.1899,-14.69000,,,
1996.2171,-11.39000,,,
1996.2442,-7.09000,,,
1996.2714,-10.29000,,,
1996.2985,-14.79000,,,
1996.3257,-15.09000,,,
1996.3529,-12.69000,,,
1996.3800,-10.09000,,,
1996.4071,-8.09000,,,
1996.4342,-10.89000,,,
1996.4886,-16.09000,,,
1996.5157,-13.39000,,,
1996.5429,-7.99000,,,
1996.5700,-2.89000,,,
1996.5972,-5.09000,,,
1996.6244,-10.09000,,,
1996.6515,-10.09000,,,
1996.6786,-10.29000,,,
1996.7053,-2.89000,,,
1996.7335,4.61000,,,
1996.7600,6.11000,,,
1996.8144,12.71000,,,
1996.8415,12.61000,,,
1996.8687,8.81000,,,
1996.8959,1.61000,,,
1996.9230,-1.99000,,,
1996.9501,-6.09000,,,
1996.9770,-13.39000,,,
1997.0044,-10.59000,,,
1997.0316,-5.69000,,,
1997.0587,-6.89000,,,
1997.0858,-8.19000,,,
1997.1402,-12.89000,,,
1997.1673,-10.89000,,,
1997.1944,-9.29000,,,
1997.2216,-7.19000,,,
1997.2487,-8.99000,,,
1997.2759,-13.09000,,,
1997.3030,-15.79000,,,
1997.3302,-11.79000,,,
1997.3573,-6.49000,,,
1997.3844,-8.89000,,,
1997.4116,-8.79000,,,
1997.4659,-15.49000,,,
1997.4928,-9.99000,,,
1997.5202,-6.39000,,,
1997.5474,-0.09000,,,
1997.5745,-4.59000,,,
1997.6288,-4.79000,,,
1997.6560,-0.59000,,,
1997.6830,4.21000,,,
1997.7103,8.81000,,,
1997.7374,6.21000,,,
1997.7917,4.11000,,,
1997.8189,6.41000,,,
1997.8460,10.61000,,,
